user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,hashtags,source,is_retweet
Cheryl de Boissiere,,Agnostic. Resister. Trolls need not apply. Fuck Trump!!!,8/13/2015 4:26,18567,20404,133485,FALSE,1/14/2023 18:55,,Twitter Web App,FALSE
Ann ANDERSON,"Massachusetts, USA",,6/9/2021 13:21,19,103,1551,FALSE,1/14/2023 18:48,,Twitter for iPhone,FALSE
Speculative Papi,SaMo,"Tradfi raised me

Defi degened me

Gm",5/19/2009 4:55,30,104,293,FALSE,1/14/2023 18:43,,Twitter Web App,FALSE
Merlin'sOwl,Scotland,"A wee Scottish owl looking for the truth and hope to pass it on. I don't tolerate trolls or shills.

NEVER TORY. 
NEVER AGAIN LABOUR.
NEVER AGAIN SNP
ALL EVIL.",9/24/2022 9:47,264,148,3272,FALSE,1/14/2023 18:30,,Twitter Web App,FALSE
BigOwlDream 🌸,Scotland,🌸BIG F'N ANRGY SCOTTISH PUREBLOOD💉 OWL. EATS LEFTY TROLLS-SHILLS N BOTS FOR ROUGHAGE. POLITICALLY HOMELESS.,3/7/2022 13:44,1504,535,13514,FALSE,1/14/2023 18:29,,Twitter Web App,FALSE
Diamonds Deviant,United States,"Constitutional Conservative #MAGA, Anti Big Government, Anti-Big Tech, #MAGA Supporter, BBQ Fanatic,
I Follow Back",3/21/2012 14:37,1725,1663,17529,FALSE,1/14/2023 18:28,,Twitter for Android,FALSE
Bobby B - 🇯🇲🇺🇸,"Atlanta, GA","Come for the petty and salty Knicks takes. Stay for the bad jokes, memes and other crap! #GoDawgs #NewYorkForever #TogetherBlue #lgm",2/2/2019 14:03,3221,3503,253582,FALSE,1/14/2023 17:27,,Twitter for iPhone,FALSE
د.أحمد حربي العتيبي...Dr.Ahmad Alotaibi,kuwait,طبيب كويتي مهتم بالامراض المعدية والوبائيات واللقاحات,9/9/2011 13:46,2922,541,294,FALSE,1/14/2023 17:01,,Twitter for iPad,FALSE
Public News DC,Washington DC,Public News DC Is The Premier Source For Policy And Political News. Follow Us For Tweets On What's Happening In Washington D.C.,8/5/2019 12:15,714,714,27817,FALSE,1/14/2023 16:31,,Twitter Web App,FALSE
douven57,,,11/8/2021 3:28,4,2,405,FALSE,1/14/2023 16:08,,Twitter for Android,FALSE
Lars Stenfeldt Hansen 🇩🇰,Copenhagen Denmark,"I have a strong intuition 🇩🇰, comparing facts and data with the historic lessons. Covid-19 is a global scam, Go high and fast!",2/14/2010 11:18,291,649,1703,FALSE,1/14/2023 16:08,,LinkedIn,FALSE
Lars Stenfeldt Hansen 🇩🇰,Copenhagen Denmark,"I have a strong intuition 🇩🇰, comparing facts and data with the historic lessons. Covid-19 is a global scam, Go high and fast!",2/14/2010 11:18,291,649,1703,FALSE,1/14/2023 16:06,,Twitter for Mac,FALSE
Silencedogood,,Hardwood in every aspect of life.  I will only stop learning when I die.,11/19/2019 1:03,96,854,1210,FALSE,1/14/2023 15:35,,Twitter Web App,FALSE
The Pug,USA,"Unfiltered news aggregator, read what the Internet is reading",1/15/2022 15:03,1614,4890,9,FALSE,1/14/2023 15:04,,HelloworldTest123,FALSE
News Pug,USA,"https://t.co/wGBB9tzNva - Unfiltered news aggregator, read what the Internet is reading",9/10/2018 1:31,2174,4845,10,FALSE,1/14/2023 15:04,,Insatiable Retriever,FALSE
DagunBoy,Queensland,Aussie with two Engineering degrees. Speciality: data analysis. Hobby: USA politics. Fully vaxxed but don't give a rat's arse if you are. I'm not your doctor.,10/16/2020 5:12,2,20,1070,FALSE,1/14/2023 14:52,,Twitter for Android,FALSE
Stanley Orlik,,🇺🇸 Texan conservative who believes the new wave liberals are total whackjobs. Anti woke…..liberal talking points are all bs.,4/16/2020 23:52,576,568,3117,FALSE,1/14/2023 14:48,,Twitter for iPhone,FALSE
Prof Peter Hotez MD PhD,"Montrose, Houston TX","Vaccine Scientist-Author-Combat Antiscience @bcmhouston Professor Pediatrics Molecular Virology, @bcm_tropmed Dean, @TexasChildrens Chair in Tropical Pediatrics",5/29/2012 0:46,329694,6960,39085,TRUE,1/14/2023 13:23,,Twitter for iPhone,FALSE
Services for Independent Living,"Cleveland, Ohio","SIL envisions a society that is accessible to all people.
SIL is a non-profit, non-residential Center for Independent Living in NE Ohio.",2/9/2015 15:35,317,833,41,FALSE,1/14/2023 12:45,,Buffer,FALSE
Ground News,"Kitchener, ON ","We empower news readers to see the full story. Uncover media bias, compare headlines, and check blindspots on the world's first news comparison platform.",2/8/2018 22:00,19617,1675,2616,FALSE,1/14/2023 12:30,,LaterMedia,FALSE
The Jamaican Rabbit Strikes Back,somewhere in the Astral Plane.,The triumphal return of the Jamaican Rabbit with new Superpowers!! I can now fold space and travel without moving!,9/28/2019 2:41,7670,484,1,FALSE,1/14/2023 12:21,"['COVID19', 'coronavirus', 'CoronavirusOutbreak', 'Jamaica']",Twitter for Android,FALSE
__peroon3__,,,4/24/2017 23:35,17,58,16,FALSE,1/14/2023 11:38,,IFTTT,FALSE
Newzroom Afrika,South Africa,"Newzroom Afrika is a premier 24-hour TV news channel broadcasting in Southern, East and West Africa live on @DStv and DStv Now Channel 405.",1/17/2019 6:32,491333,727,3816,FALSE,1/14/2023 9:43,,Twitter Media Studio,FALSE
Cape Argus,"Cape Town, South Africa","Cape Town's oldest daily newspaper, bringing you the news since 1857. We publish in the morning and afternoon and online. Visit our Facebook page to comment.",11/8/2010 4:45,49683,820,394,FALSE,1/14/2023 8:49,,Echobox,FALSE
Scrabbl,India,"Scrabbl keeps you amused and updated with global news, information on technology, culture, entertainment and trends.",12/2/2017 7:23,311,1032,346,FALSE,1/14/2023 8:02,"['XBB15', 'Transmissible', 'Covid19']",Twitter Web App,FALSE
Tian_A1,Everywhere,Journalist observer specialized in analysis of international web media - Veritas vos liberabit,1/23/2016 13:06,1791,877,18050,FALSE,1/14/2023 6:54,['Covid19'],Tiana1,FALSE
The Trending Fashions,India,We Provide All new Fashion Updates Follow us for latest Trending Fashions,4/6/2020 11:45,25,40,0,FALSE,1/14/2023 6:03,,IFTTT,FALSE
WPMT FOX43,"York, PA",#ExpectMore from @FOX43 News | @FOX43Weather @FOX43Sports | 📧 news@fox43.com | 📲 717-843-0043 | Facebook: https://t.co/MVxKxbeQcd,10/19/2007 15:44,83627,1184,61611,TRUE,1/14/2023 5:19,,SocialNewsDesk,FALSE
Zoe Elizabeth Dodds,"Perth, Western Australia",,2/7/2020 11:06,3,111,407,FALSE,1/14/2023 5:14,,Twitter for iPhone,FALSE
Bilyonaryo,Philippines,We are an online magazine devoted to gathering all the latest news about rich billionaires and famous people!,11/24/2015 2:33,18639,188,347,FALSE,1/14/2023 4:44,,TweetDeck,FALSE
Business Standard,India,"Latest news on the economy, companies, markets, politics and technology from India's leading business daily.",6/1/2009 8:52,2229402,455,219,TRUE,1/14/2023 4:11,,Echobox,FALSE
Eric Cheng,Singapore,"https://t.co/Pb7N1M1lyd
https://t.co/JmfPOK161p
https://t.co/74ZCf0isfK
https://t.co/UpD7jGymrm",6/3/2009 4:14,421,1997,32,FALSE,1/14/2023 4:02,,Twitter Web App,FALSE
The Philippine Star,Philippines,"The official Twitter account of The Philippine STAR, flagship title of the country's most successful print media enterprise.",1/23/2012 16:37,1444716,865,3280,TRUE,1/14/2023 4:00,,TweetDeck,FALSE
The Newsmen,,"Your daily supplement of news, facts, analysis & opinion pieces. 📰
Participate in group discussions. GET THE APP NOW 
https://t.co/jF7n5puUXQ",9/18/2019 14:53,4224,776,154,FALSE,1/14/2023 3:43,,Twitter Web App,FALSE
PhilSTAR L!fe,"Port Area, Manila","Everything you love, want, need.",6/2/2016 1:14,7586,108,73,TRUE,1/14/2023 3:00,,TweetDeck,FALSE
Dimsumdaily Hong Kong,Hong Kong,Leading international English news blog which reports breaking news in  Hong Kong and around the world.,9/8/2019 11:59,4224,44,6,FALSE,1/14/2023 2:40,,Zapier.com,FALSE
Ommcom News,"Bhubaneshwar, India","Capturing Odisha Online. Breaking News Alert From Odisha, India & World..",5/24/2016 11:40,4437,436,900,FALSE,1/14/2023 2:29,,Twitter Web App,FALSE
Dave Lucas,The Internet,"🎙Broadcast Journalist | Opinions mine. @WAMCNews I ♡ pop culture, crypto Apasionada por la Música y las Fotos!",5/11/2007 16:13,15494,449,11101,TRUE,1/14/2023 2:07,,Twitter for iPhone,FALSE
The Philippine Star,Philippines,"The official Twitter account of The Philippine STAR, flagship title of the country's most successful print media enterprise.",1/23/2012 16:37,1444716,865,3280,TRUE,1/14/2023 2:05,,TweetDeck,FALSE
PhilSTAR L!fe,"Port Area, Manila","Everything you love, want, need.",6/2/2016 1:14,7586,108,73,TRUE,1/14/2023 2:00,,TweetDeck,FALSE
Simon Ishihara,"Honolulu, HI",Instagram Influencer. Speaker Of Public Conscience. Hawaii Lifestyle... look ahead don’t stand still.,8/14/2015 0:08,60,20,11,FALSE,1/14/2023 1:47,,Twitter for iPhone,FALSE
Marie Spiridigliozzi,"Glen Head, NY",,12/15/2011 0:08,39,365,22,FALSE,1/14/2023 1:36,,Twitter Web App,FALSE
Cheryl de Boissiere,,Agnostic. Resister. Trolls need not apply. Fuck Trump!!!,8/13/2015 4:26,18567,20404,133485,FALSE,1/14/2023 1:20,,Twitter Web App,FALSE
OR Health Authority,Oregon,We're the state agency responsible for promoting better health and better care at lower costs for all Oregonians.,6/2/2010 20:01,32339,1439,3929,TRUE,1/14/2023 1:00,,Hootsuite Inc.,FALSE
Philstar.com,"Manila, Philippines","The official digital arm of the STAR Group of Publications. We provide credible breaking news, in-depth reports, fact-checks, and contextual real-time coverage.",7/9/2009 2:48,979739,138,3807,TRUE,1/14/2023 0:55,['COVID19'],TweetDeck,FALSE
Lotus Saigonner,"Houston, TX","Fighting for Freedom, Justice and Equality.",4/5/2009 1:51,1087,2289,23315,FALSE,1/14/2023 0:27,,Twitter Web App,FALSE
Gerson Borrero,,Political Commentator @NY1 & @NY1Noticias; Political Editor & Host of Estudio DC @hitn Ex: EAL @cityandstateNY; EIC @eldiariony Email: BorreroReports@gmail.com,3/19/2011 20:14,8183,1177,10431,FALSE,1/13/2023 23:41,,Twitter for iPad,FALSE
🇨🇦 ABC progressive left of center voter,unceded Snuneymuxw territory,"I tweet Canadian politics.  Introvert INFJ, humanist, pacifist, critical thinker, singer,pro-science, pro-T&R, anti-facist anti-racist.  ⚖ Ally 🪶 🌈 ☮️   😷 💉",5/19/2008 20:25,5219,3557,194505,FALSE,1/13/2023 23:35,"['COVID', 'Omicron', 'XBB15']",Twitter Web App,FALSE
Real News,"Chicago, IL","Once you eliminate the impossible, whatever remains, no matter how improbable, must be the truth.",5/29/2018 5:32,32,120,2019,FALSE,1/13/2023 23:31,,Twitter for Android,FALSE
Gary  Buckley™,Earth,"RT/follow, Usual caveats. Views ©™
Art, gardens, my world interests.

Unfollow me I unfollow you, that’s how it works.",5/8/2010 1:30,2215,1576,863,FALSE,1/13/2023 22:11,,Twitter for Android,FALSE
Carles Dijous (AAlb),"Barcelona, Spain",Colaborador docente UOC (Universitat Oberta de Catalunya). ICT observer.,12/28/2008 11:08,8895,5284,921,FALSE,1/13/2023 22:05,"['WHO', 'COVID19']",TweetDeck,FALSE
Chris Hendel,"Vermont, US","Adj Research Instr of Med, @KeckMedUSC; COVID research & projects, @ProPublica; fmr chief med researcher @ConsumerReports 1989-2018; also @chrishendel elsewhere",4/28/2009 12:25,3547,4711,128489,FALSE,1/13/2023 21:55,['Twitter'],Twitter Web App,FALSE
San Francisco Chronicle,"San Francisco, CA",Delivering the Bay Area’s best journalism every day. Subscribe and support the newsroom: https://t.co/p8tnyqwzKs,3/10/2010 0:44,296534,443,3332,TRUE,1/13/2023 21:19,,SocialFlow,FALSE
Al Arabiya English,Dubai,The Arab world’s leading source of global news and opinion.,2/28/2009 8:31,925297,46,0,TRUE,1/13/2023 21:00,"['omicron', 'COVID19']",Sprinklr,FALSE
Brishti Basu,"Victoria, British Columbia",Journalist @CapitalDailyVic | brishti@capitaldaily.ca | Words in a bunch of places | she/her | DMs are open |,8/14/2014 10:06,5287,977,44299,FALSE,1/13/2023 20:53,,Twitter Web App,FALSE
Spectrum News NY1,New York City,The 24-hour news network dedicated to NYC. NY1 is also on Facebook (NY1News) and Instagram (NY1).,5/29/2009 22:37,464650,133,2068,TRUE,1/13/2023 20:39,,SocialNewsDesk,FALSE
Regina Phelps 🇺🇦,"San Francisco, CA","Crisis Management, Exercise Design & Pandemic Planning Expert & Thought Leader, Author, Speaker, Consultant  Respect Science, Respect Nature, Respect Each Other",4/22/2007 12:21,1231,1052,4264,FALSE,1/13/2023 20:11,"['covid19', 'XBB']",LinkedIn,FALSE
Gulf News,United Arab Emirates,We don't just cover the news - we uncover the truth. The official Twitter feed from Gulf News.,2/11/2009 8:21,1468431,240,1016,TRUE,1/13/2023 19:54,"['Covid_19', 'XBB15', 'XBBvariant']",TweetDeck,FALSE
Andy Vermaut,"Diksmuide, België","Linked to WCPDCD,  
RT is not endorsement 
ActNow for Climate 
People Forests 
Fundamental rights Postversa
Whatsapp +32499357495 
denktankcarmenta@gmail.com",4/17/2011 16:39,31420,34230,1915,FALSE,1/13/2023 19:42,,dlvr.it,FALSE
Andy Vermaut,"Diksmuide, België","Linked to WCPDCD,  
RT is not endorsement 
ActNow for Climate 
People Forests 
Fundamental rights Postversa
Whatsapp +32499357495 
denktankcarmenta@gmail.com",4/17/2011 16:39,31420,34230,1915,FALSE,1/13/2023 19:36,,dlvr.it,FALSE
NEWSMAX,United States,"Real News for Real People. 

Watch NEWSMAX, an independent news network with a conservative perspective, available in 100M+ U.S. homes: https://t.co/rs8XZDalW3",2/10/2009 21:04,2017642,668,2087,TRUE,1/13/2023 19:15,,Emplifi,FALSE
KUWAIT TIMES,Kuwait,The First English Daily in the Arabian Gulf | Since 1961 | For Arabic News @kuwaitnews,11/8/2011 19:01,45561,2,235,TRUE,1/13/2023 18:53,"['Omicron', 'US', 'COVID']",Twitter for iPhone,FALSE
NYC EMS Watch,NYC,"A unique look at FDNY EMS EMTs & Paramedics, NYC EMS life in general, First Responder life everywhere & NYC politics. As always, unofficial, satirical and wry.",5/12/2010 17:39,17498,205,192933,FALSE,1/13/2023 18:10,,Twitter for Android,FALSE
VERIFY,,VERIFY is dedicated to fighting the spread of misinformation & helping you determine what's true and what's false. Part of @TEGNA.,11/16/2020 19:42,13625,151,312,TRUE,1/13/2023 18:00,,SocialNewsDesk,FALSE
GMA News,Philippines,Welcome to the official Twitter account of GMA News in the Philippines.,5/12/2009 7:14,6466193,677,14963,TRUE,1/13/2023 18:00,,TweetDeck,FALSE
CHAP,"Arlington, VA",Our goal is to revolutionize the accreditation experience. Change the conversation. Advance the highest quality of home and community-based care.,8/5/2011 18:50,808,667,966,FALSE,1/13/2023 17:53,,Hootsuite Inc.,FALSE
My Care Labs,"California, USA","My Care Labs helps to counter the spread of #COVID19, #Flu, #RSV, and other diseases through our easy, accurate, no-cost tests.",12/1/2021 23:41,135,47,335,FALSE,1/13/2023 16:43,,Buffer,FALSE
HealthWise,,The online vertical of PUNCH Newspapers dedicated to health and related development stories,12/30/2019 13:38,355,212,897,FALSE,1/13/2023 16:36,,Twitter Web App,FALSE
Onward Nigeria,onwardng@gmail.com,I am Nigerian! |News•Marketing Communications•|PR|,7/6/2010 20:32,90947,95,33,FALSE,1/13/2023 16:22,,dlvr.it,FALSE
Strawberry NG News,Nigeria,"Bite-sized news, that keeps you updated.",11/5/2010 10:27,2178,1689,6,FALSE,1/13/2023 16:21,,dlvr.it,FALSE
Channels Television,Nigeria,Channels Television is the 15-time winner of the 'Best TV station in Nigeria award' and the most-awarded television station in Africa.,3/22/2010 14:29,6130478,189,4786,TRUE,1/13/2023 16:20,,Twitter Web App,FALSE
Think FM Solutions,London,"We look after the cleaning so you can focus on your business! Commercial office cleaning & facilities management services.

Call 0844 826 4842 for a free quote!",11/30/2017 14:03,1480,240,1439,FALSE,1/13/2023 16:02,,Hootsuite Inc.,FALSE
News24,South Africa,South Africa's premier online news resource. Follow @TeamNews24 for all the action from our journalists 🇿🇦 SA's most trusted news source - Reuters Institute,5/8/2008 7:45,5225748,726,1232,TRUE,1/13/2023 15:45,,Hootsuite Inc.,FALSE
MoonFlower,Oregon ,"#TheResistance 🌊
No DM please. No Lists. Thank you.",1/28/2017 17:29,3348,3828,145392,FALSE,1/13/2023 15:02,,Twitter Web App,FALSE
Erik Robinson,"Portland, Ore.",Communicator for Oregon Health & Science University. Opinions are my own.,2/4/2012 0:17,462,550,997,FALSE,1/13/2023 15:01,,Twitter Web App,FALSE
nychealthy,"New York, NY",nycHealthy is the official account of the NYC Department of Health and Mental Hygiene. User Policy: https://t.co/XIPRez1f1h,12/9/2008 18:13,96881,581,7865,TRUE,1/13/2023 14:58,,Twitter Web App,FALSE
AlertsAndNews,Not Finance Advice ,"Market Research, timely alerts, fast news and your command center to take on the markets! Sign up below and try a trial today!",1/9/2017 20:01,1349,228,758,FALSE,1/13/2023 14:37,,StockTwits Web,FALSE
AInvest Wire,New York,"Fastest free and breaking news in Stocks, Commodities, Forex, Indices, Economy and more.",4/18/2022 12:26,879,6,47,FALSE,1/13/2023 14:35,,AinvestNews,FALSE
MrSauravThakur ,"Kathmandu,Nepal",⚠️ Lead Developer for @PriapusIQ - Building https://t.co/ddXdE0XA7v and Much More! 💪 Working hard is not a burden; it is an advantage.,12/25/2020 11:25,333,18,61,FALSE,1/13/2023 14:35,,PiQSuite,FALSE
PiQ,On The Wire,"⚠️ News. Commentary. Markets. Geopolitics.

⚠️ Check out our FREE Reuters newsfeed on PiQ Suite at https://t.co/RGP7sot5wA",8/11/2019 11:01,71198,1717,46558,FALSE,1/13/2023 14:35,,PiQ-Suite,FALSE
theSun,Petaling Jaya,Breaking news updates from the website of Malaysia's free and largest circulating urban newspaper. Like Thesundaily on Facebook & Instagram.,7/29/2009 1:58,171227,458,3584,FALSE,1/13/2023 13:32,['theSun'],Twitter Web App,FALSE
anache 🇺🇸 💙 🇺🇦🏳️‍🌈🏳️‍⚧️,Milky Way,"It was ""woke"" people who ended slavery, passed Civil Rights Act, Voting Rights Act, champion woman’s rights, LGBTQ rights. Why the GOP hates them. I am woke!",3/18/2010 19:24,9933,10913,11571,FALSE,1/13/2023 12:58,,Twitter for iPhone,FALSE
shrikant jadhav,,🇮🇳❤️,11/26/2021 1:01,52,186,3613,FALSE,1/13/2023 11:40,,Twitter Web App,FALSE
Dimsumdaily Hong Kong,Hong Kong,Leading international English news blog which reports breaking news in  Hong Kong and around the world.,9/8/2019 11:59,4224,44,6,FALSE,1/13/2023 9:20,,Zapier.com,FALSE
WFAA,"Dallas, TX","From our historic coverage of the JFK assassination to highlighting the biggest local stories of each day, WFAA has served North Texas for nearly 75 years.",8/1/2008 20:46,630884,3939,12421,TRUE,1/13/2023 7:00,,SocialNewsDesk,FALSE
Sam Wong AM (黃樹樑）,"Canberra, Australian Capital Territory","Past Chair, Aust Red Cross(ACT Division); former Principal Pharmacist, TGA, Dept of Health, Aust Government (retired after 37 years). Now a full time Volunteer.",5/9/2013 9:35,679,418,282,FALSE,1/13/2023 6:38,,Twitter for iPhone,FALSE
MR,,,2/24/2012 6:56,3,66,75,FALSE,1/13/2023 3:09,,Twitter Web App,FALSE
Spectrum News NY1,New York City,The 24-hour news network dedicated to NYC. NY1 is also on Facebook (NY1News) and Instagram (NY1).,5/29/2009 22:37,464650,133,2068,TRUE,1/13/2023 1:00,,SocialNewsDesk,FALSE
Spectrum News 1 BUF,"Buffalo, NY","Spectrum News 1 offers the best 24-hour local news coverage in Buffalo plus weather, sports and your favorite features.",3/24/2009 21:43,30358,376,857,TRUE,1/13/2023 0:00,,SocialNewsDesk,FALSE
SoziologIn stand with Ukraine 💙💛,she/her,"'There's a special place in hell for women who don't support other women' (Madeleine Albright).

@SoziologIn@muenchen.social. Views are my own.",7/13/2020 10:52,757,2068,34382,FALSE,1/12/2023 23:57,,Twitter for Android,FALSE
TX Capital Tonight,"Austin, TX",Capital Tonight is Spectrum News' statewide live political show airing every weeknight at 7 p.m. Follow us for all your Texas political news!,7/21/2011 15:28,5883,975,455,TRUE,1/12/2023 23:43,,Twitter Web App,FALSE
Spectrum Bay News 9,Tampa Bay area,"Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.",11/11/2008 12:03,384511,444,1764,TRUE,1/12/2023 23:15,,SocialNewsDesk,FALSE
Kings County REMO #KingsREMO,"Wolfville, Nova Scotia","We are all responsible for Emergency Preparedness. By failing to prepare, you are preparing to fail -- Benjamin Franklin (Account is not monitored 24/7)",1/23/2015 20:45,826,17,791,FALSE,1/12/2023 23:00,,Twitter for iPhone,FALSE
OMG Science Briefly,Internet,"A Science community with less noise & more highlights
on @briefly_tldr. Follow for an invite to join our open beta!",9/5/2014 3:07,4577,4955,32027,FALSE,1/12/2023 22:40,,OMG Science PLOW,FALSE
Nina Wu,Honolulu,Reporter @StarAdvertiser | Health and sustainability issues | Berkeley @UCBSoJ @FletcherSchool grad. Opinions are my own.,11/12/2008 3:01,6773,5568,64731,TRUE,1/12/2023 22:05,,Twitter Web App,FALSE
VERIFY,,VERIFY is dedicated to fighting the spread of misinformation & helping you determine what's true and what's false. Part of @TEGNA.,11/16/2020 19:42,13625,151,312,TRUE,1/12/2023 22:00,,SocialNewsDesk,FALSE
7News,"Watertown, New York","WWNY TV is a CBS affiliate in Watertown, NY. Its sister stations are WNYF and MeTV. The studio is located on Arcade Street in Downtown Watertown.",11/3/2010 16:31,4926,479,127,FALSE,1/12/2023 21:46,,SocialNewsDesk,FALSE
Spectrum News 13,"Orlando, FL",#BreakingNews in #Orlando and all of Central Florida. Also at @MyNews13Weather and @MyNews13Traffic — Send breaking news tips: N13-Desk@charter.com,11/13/2008 14:08,266249,2160,2330,TRUE,1/12/2023 21:30,,SocialNewsDesk,FALSE
Spectrum News 1 HV,Hudson Valley,"Spectrum News 1 offers the best 24-hour local news coverage plus weather, sports and your favorite features.",3/29/2010 21:13,13384,280,102,FALSE,1/12/2023 21:25,,SocialNewsDesk,FALSE
Spectrum News 1 Albany,,Spectrum News 1 is a 24-hour local news channel exclusively available to Spectrum customers in the Capital Region.,3/26/2009 3:15,67892,1354,610,TRUE,1/12/2023 21:25,,SocialNewsDesk,FALSE
Spectrum News 1 CNY/S.Tier,"CNY, Northern NY, S. Tier","Spectrum News 1 offers the best 24-hour local news, politics, and weather coverage for Central New York and the Southern Tier. ",2/24/2009 16:09,22858,790,3897,TRUE,1/12/2023 21:25,,SocialNewsDesk,FALSE
WUSA9,"Washington, DC","Your stop for breaking news, weather & traffic in DC, Maryland & Virginia. Story ideas? Email newstips@wusa9.com. (@CBS, @TEGNA)",7/11/2008 13:19,134211,5230,12069,TRUE,1/12/2023 20:33,,SocialNewsDesk,FALSE
My8one3,Tampa,,3/26/2014 19:57,157,510,655,FALSE,1/12/2023 19:06,,Jetpack.com,FALSE
my9oh4,Jacksonville Florida,Jacksonville home foe Lockedin Magazine,4/6/2014 17:45,204,450,2584,FALSE,1/12/2023 19:06,,Jetpack.com,FALSE
my4oh7.com,,,10/26/2011 14:26,153,238,389,FALSE,1/12/2023 19:06,,Jetpack.com,FALSE
LockedIN Magazine,United States,"Since 2011, LockedIN Magazine has been the Where to go spot for locals to find out what’s going on in their neighborhood. From Youth Sports to major Festivals.",10/7/2015 17:09,304,527,1472,FALSE,1/12/2023 19:06,,Jetpack.com,FALSE
Spectrum News 1 ROC,"Rochester, NY","Spectrum News 1 offers the best 24-hour local news coverage in Rochester plus weather, sports and your favorite features.",10/27/2008 2:14,82155,442,455,TRUE,1/12/2023 19:05,,SocialNewsDesk,FALSE
WGRZ,"Buffalo, NY","2 On Your Side is WGRZ-TV in Buffalo, NY; the news station that holds people in power accountable!",7/3/2008 13:14,213659,2017,3307,TRUE,1/12/2023 18:45,,SocialNewsDesk,FALSE
Boomer Bob Rises once Again is a parody,Staying here on Twitter ,NYY NYG NYR fan I’m a parody of me NO SOCIALISTS NO Bros or Squad lunatics. Hands off Biden Harris Pelosi bobnyc59 is suspended I’m Catholic trump for prison,12/28/2019 13:44,4731,5200,26886,FALSE,1/12/2023 18:05,,Twitter for iPhone,FALSE
Michael Schwandt (he/him),Vancouver,"Public health physician.
Antiracist ecoanxious xennial numtot.
Tweets on healthy environments, population health, equity, climate, cats.",4/20/2011 15:17,5133,4017,11920,TRUE,1/12/2023 18:03,,Twitter Web App,FALSE
WNEP,Northeastern & Central PA,Your #1 Source for News & Information | Have a news tip? Email: newstip@wnep.com | WNEP-TV (ABC Affiliate) is #ProudtoServe,6/5/2008 15:34,152941,157,1879,TRUE,1/12/2023 17:31,,SocialNewsDesk,FALSE
WttippedCreamOnHorsesh!t,Your mom's house,"#shitposter, Pronouns: deez/nutz, They're all in on it. No Amnesty ever! We're coming for all you fuckers.",6/26/2020 16:32,486,938,53664,FALSE,1/12/2023 17:06,,Twitter Web App,FALSE
IPAC Canada,Canada,"IPAC Canada is a national, multidisciplinary association of Infection Control Professionals dedicated to the health of all Canadians.",12/20/2011 20:44,3570,406,2110,FALSE,1/12/2023 17:00,"['COVID19', 'Variants']",Hootsuite Inc.,FALSE
WKYC 3News,"Cleveland, OH","Visit https://t.co/aJBBCpGyhK for news, weather, sports and information for the #NortheastOhio #NBC affiliate. #3News",4/3/2008 20:25,200871,17620,10060,TRUE,1/12/2023 16:47,,SocialNewsDesk,FALSE
13News Now,"Norfolk, VA",13News Now is part of @TEGNA and is the ABC affiliate for southeastern Virginia and northeastern North Carolina. Telling the Stories of Now.,1/18/2008 20:42,147870,1949,1927,TRUE,1/12/2023 16:40,,SocialNewsDesk,FALSE
Teresa Wright,Charlottetown,"National health reporter @globalnews. 15+ yrs covering news and politics, incl with @CdnPressPoli. “Comfort the afflicted and afflict the comfortable.”",9/17/2008 17:00,18063,2732,15216,TRUE,1/12/2023 16:32,"['cdnhealth', 'COVID19']",Twitter Web App,FALSE
FOX61,"Hartford, CT","Follow us for the latest breaking news, weather, sports, and entertainment. FOX61 News - Expect More.",10/23/2007 16:27,151456,852,2383,TRUE,1/12/2023 16:23,,SocialNewsDesk,FALSE
Massoud Khazabi,"Ottawa, Ontario","Professor of Economics, University of Ottawa",6/23/2009 17:03,20,28,110,FALSE,1/12/2023 16:22,['CovidIsntOver'],Twitter Web App,FALSE
Massoud Khazabi,"Ottawa, Ontario","Professor of Economics, University of Ottawa",6/23/2009 17:03,20,28,110,FALSE,1/12/2023 16:22,['CovidIsntOver'],Twitter Web App,FALSE
NEWS CENTER Maine,"Maine, USA","Headlines and breaking news from NBC affiliate NEWS CENTER Maine in Portland and Bangor, Maine. Start your tweet with #NEWSCENTERmaine to say hi!",10/1/2008 1:17,130573,3519,5782,TRUE,1/12/2023 16:20,,SocialNewsDesk,FALSE
Kim Chaney,"Memphis, TN",WATN Digital Content Producer - she/her,3/25/2014 16:40,748,391,5,FALSE,1/12/2023 16:10,,SocialNewsDesk,FALSE
9NEWS Denver,"Denver, Colorado","The official Twitter of 9NEWS in Denver, CO. Interact with us! #9NEWSMornings #BeOn9 #9WX We also retweet the #9NEWS team.",1/15/2009 18:32,494102,960,11627,TRUE,1/12/2023 16:07,,SocialNewsDesk,FALSE
ABC10,"Sacramento, CA","Welcome to ABC10 on Twitter! We are your source for news from Sacramento, Modesto, Stockton, the Sierra Nevada and foothill communities in California.",1/6/2009 1:20,158400,1835,5164,TRUE,1/12/2023 16:05,,SocialNewsDesk,FALSE
13 On Your Side,"Grand Rapids, Michigan",We stand up for the community. We want to make life better for everyone. We celebrate all that makes West Michigan unique. We are 13 On Your Side.,8/20/2008 14:04,91688,344,3191,TRUE,1/12/2023 16:02,,SocialNewsDesk,FALSE
